date,iso3166-2,RelativeHumiditySurface,SolarRadiation,Surfacepressure,TemperatureAboveGround,Totalprecipitation,UVIndex,WindSpeed
2020-02-13,DE-BE,76.065297,1786373.222902,2408181.7027970003,276.844633,0.0035229999999999997,4.671329,4.761508999999999
2020-02-14,DE-BE,93.20614599999999,188050.73601400002,2425379.4300700002,276.969991,0.000322,0.643357,2.29662
2020-02-15,DE-BE,81.577388,1411348.291084,2434691.0262240004,278.78312900000003,4e-06,4.986014,4.266375
2020-02-16,DE-BE,59.40955699999999,81840.16297,2402813.153846,284.81442599999997,0.0023239999999999997,4.622378,7.008421
2020-02-17,DE-BE,62.309206999999994,927161.193182,2414022.65035,282.663694,0.001129,4.93007,6.874067999999999
2020-02-18,DE-BE,70.38382800000001,3818026.828671,2426222.8986009997,280.01055099999996,0.002352,4.9930069999999995,6.597873
2020-02-19,DE-BE,80.905857,1589213.6215030001,2418611.515734,278.454482,0.00594,3.4335660000000003,6.232372
2020-02-20,DE-BE,80.80810100000001,934876.1013989999,2423727.22028,278.215299,0.001446,3.615385,4.85609
2020-02-21,DE-BE,73.233071,3180871.5646849996,2432057.3006990002,279.18444,0.003988,4.986014,6.8244169999999995
2020-02-22,DE-BE,63.467890000000004,832595.976836,2421976.4790209997,281.516695,0.00343,4.377622,7.964044
2020-02-23,DE-BE,83.258186,1270.661024,2406060.555944,279.746965,0.01659,2.9510490000000003,6.274825
2020-02-24,DE-BE,79.796093,345297.389642,2415231.012238,278.507723,0.006239,4.090909,5.794522
2020-02-25,DE-BE,74.395394,3176315.339161,2376131.106643,280.907343,0.0013210000000000001,5.0069930000000005,5.73514
2020-02-26,DE-BE,90.96182900000001,807675.34528,2373126.3881119997,275.969091,0.002376,3.5804199999999997,3.9859269999999998
2020-02-27,DE-BE,81.454139,3385435.2027970003,2388448.256993,276.605043,0.001732,4.412587,3.3947550000000004
2020-02-28,DE-BE,75.08135,4230922.45979,2412028.671329,276.959294,0.001802,5.1118879999999995,4.739219
2020-02-29,DE-BE,79.086188,2926308.3583919997,2380218.954545,279.972433,0.007568999999999999,5.370629,5.602826
2020-03-01,DE-BE,72.35463299999999,4178990.7972029997,2377043.482517,280.117341,0.0014609999999999998,6.0979019999999995,5.119959
2020-03-02,DE-BE,82.526398,1846395.9938810002,2371234.323427,279.078997,0.002366,5.9790209999999995,3.622057
2020-03-03,DE-BE,86.788519,98010.405212,2384159.534965,277.845541,0.002902,3.8881120000000005,3.6519809999999997
2020-03-04,DE-BE,78.04195899999999,6561092.538462,2408197.592657,277.457875,0.001684,7.083916,3.355536
2020-03-05,DE-BE,71.595219,7470545.555944,2391672.326923,278.590675,9.4e-05,9.678322,3.672786
2020-03-06,DE-BE,92.30515600000001,683928.99257,2370905.1083919997,278.478327,0.004924,5.0,3.946416
2020-03-07,DE-BE,83.997902,2614947.575175,2414428.47028,277.380067,0.0020670000000000003,5.0209790000000005,5.0979019999999995
2020-03-08,DE-BE,78.989248,3955450.351399,2422298.284965,278.356762,0.0,8.461538000000001,3.910111
2020-03-09,DE-BE,83.79289,990098.97465,2412438.70979,280.155623,0.003827,5.776224,3.072931
2020-03-10,DE-BE,89.667916,285835.479349,2398154.386364,279.374093,0.007923000000000001,6.0,5.786597
2020-03-11,DE-BE,74.464715,4164214.405594,2404245.152098,282.990934,0.002141,9.587413,5.811131
2020-03-12,DE-BE,64.059498,5185372.325175,2398848.795455,282.865383,0.004775,9.167832,7.7479309999999995
2020-03-13,DE-BE,68.44595,4649679.496503,2413111.120629,279.355536,0.002403,7.104895,7.384994
2020-03-14,DE-BE,60.721270999999994,10751786.559441,2444203.910839,276.74818999999997,0.0,11.0,2.452914
2020-03-15,DE-BE,46.846591,8693902.65035,2434140.7290209997,279.14414500000004,0.0,10.678322,5.323718
2020-03-16,DE-BE,54.615152,8790681.916083999,2433163.772727,282.536303,0.0,11.195803999999999,2.991375
2020-03-17,DE-BE,68.751922,6093043.108392,2450948.120629,282.50984900000003,0.000713,11.888112,2.6746790000000003
2020-03-18,DE-BE,59.645775,6692098.146853,2446554.896853,284.41893999999996,0.0,11.20979,3.838199
2020-03-19,DE-BE,73.425291,2206538.677448,2445702.571678,283.645141,4.8e-05,10.384615,3.0590029999999997
2020-03-20,DE-BE,69.827331,2558687.9965029997,2448340.8653849997,280.887091,0.00028399999999999996,9.153846000000001,2.95609
2020-03-21,DE-BE,59.992803,9273832.230769001,2460583.477273,277.412851,2e-06,12.251748,5.278788
2020-03-22,DE-BE,49.677069,11359182.888112,2474526.501748,275.32861099999997,0.0,14.0,4.033188
2020-03-23,DE-BE,44.414249,13145882.678322,2480204.386364,274.77768,0.0,14.0,3.009003
2020-03-24,DE-BE,40.86084,13392887.811189,2474693.468531,275.951776,0.0,14.755245,3.309994
2020-03-25,DE-BE,37.233304,13545994.377622,2463562.597902,277.46334,0.0,15.86014,4.3744760000000005
2020-03-26,DE-BE,39.694144,13211713.034965,2452515.604895,279.38108900000003,0.0,16.776224,4.319376
2020-03-27,DE-BE,45.157052,13045340.230769001,2441080.961538,283.001223,0.0,17.0,3.4251169999999997
2020-03-28,DE-BE,56.981789,13603475.153846001,2431369.88986,281.59187099999997,0.0,17.0,3.6999419999999996
2020-03-29,DE-BE,69.245251,1296333.7194059999,2442106.41958,276.257954,0.001837,8.146853,5.136189
2020-03-30,DE-BE,71.451369,4207435.666084,2449546.416084,273.769928,0.001761,10.727273,3.692628
2020-03-31,DE-BE,61.046125,7105416.111888001,2455619.3513990003,275.03074300000003,0.000181,15.538461999999999,2.770746
2020-04-01,DE-BE,54.089539,11407516.979021,2432258.354895,277.863664,2e-06,17.664336,4.3535260000000005
2020-04-02,DE-BE,58.678233999999996,6582630.671329,2410037.7744759996,280.38953399999997,7.000000000000001e-06,15.097902,5.102855
2020-04-03,DE-BE,53.228671999999996,7851927.755245,2417217.870629,280.72301600000003,0.000334,17.153845999999998,5.431556
2020-04-04,DE-BE,49.915442999999996,6926935.073427,2448089.9405590002,281.29860299999996,3.3e-05,19.0,2.197174
2020-04-05,DE-BE,45.841201,15110834.867132999,2455298.6328669996,283.326518,0.0,19.286713,4.40102
2020-04-06,DE-BE,39.693269,15884255.888112,2443543.2972029997,286.704337,0.0,20.0,4.329487
2020-04-07,DE-BE,50.904051,15251936.811189001,2458189.424825,286.90673300000003,0.0,20.440559,3.3853150000000003
2020-04-08,DE-BE,46.087703999999995,15789706.923076998,2449621.704545,287.456032,0.0,21.055944,2.543211
2020-04-09,DE-BE,54.449185,10882469.321678,2442187.286713,285.76929,5e-06,21.895104999999997,3.729575
2020-04-10,DE-BE,51.398688,13552403.734266,2448410.0576919997,283.42159399999997,0.0,22.041957999999997,2.486509
2020-04-11,DE-BE,51.358014000000004,15351609.496503,2448069.286713,282.946737,0.0,22.741259,1.6602860000000002
2020-04-12,DE-BE,47.203643,16393541.699301,2421256.627622,287.47308,0.0,23.041957999999997,2.7062939999999998
2020-04-13,DE-BE,52.155885999999995,9393074.125874,2420514.9527970003,281.42995099999996,0.001267,20.27972,5.3358099999999995
2020-04-14,DE-BE,49.81926,8425198.986014,2437209.743007,279.783272,0.000198,24.468531,4.953001
2020-04-15,DE-BE,53.527884,13318276.811189,2436175.832168,282.873339,0.0,20.895104999999997,5.354691000000001
2020-04-16,DE-BE,52.068909999999995,15503311.951048998,2425496.305944,285.315763,0.0,24.307692000000003,3.585198
2020-04-17,DE-BE,51.291346000000004,16788571.335664,2428871.7604900002,284.872379,0.0,25.0,2.329254
2020-04-18,DE-BE,36.394493,18386099.328671,2429951.106643,284.572781,0.0,25.0,3.3927739999999997
2020-04-19,DE-BE,38.416317,18496883.65035,2440606.895105,282.840389,0.0,25.0,4.94968
2020-04-20,DE-BE,43.797494,18648419.874126002,2448758.65035,283.681965,0.0,25.0,4.701865
2020-04-21,DE-BE,44.285461,18524862.951049,2448635.961538,284.91681,0.0,25.566434,5.296533
2020-04-22,DE-BE,47.949358000000004,18607629.79021,2447864.646853,286.170954,0.0,27.496503000000004,3.843357
2020-04-23,DE-BE,47.098046999999994,18819316.335664,2437613.444056,287.72362799999996,0.0,28.0,2.1147139999999998
2020-04-24,DE-BE,46.325815999999996,12780925.874126,2405781.356643,287.73814,0.0,27.706294,4.255012000000001
2020-04-25,DE-BE,54.385199,4258017.178322,2410093.762238,284.671853,0.00023199999999999997,24.188810999999998,4.036276
2020-04-26,DE-BE,49.537879,6004663.174825,2412445.375874,285.53767200000004,0.000283,28.41958,1.949126
2020-04-27,DE-BE,48.228029,16524183.72028,2404710.571678,287.975553,0.0,29.0,2.208829
2020-04-28,DE-BE,49.802039,12941981.0,2395217.118881,289.942366,0.000982,28.251748,2.818677
2020-04-29,DE-BE,80.26678199999999,4879268.575175,2398050.506993,285.329922,0.005251,18.902098000000002,2.272465
2020-04-30,DE-BE,76.482166,3269979.8094409998,2395187.907343,286.80571499999996,0.000596,23.076923,3.627185
2020-05-01,DE-BE,64.33566400000001,12981890.104895,2390015.29021,286.35200699999996,0.00085,26.062936999999998,4.205595
2020-05-02,DE-BE,79.97089100000001,9975809.461538,2400085.0646849996,283.406466,0.004353,26.06993,3.52264
2020-05-03,DE-BE,72.55771899999999,6516338.437063,2424115.536713,283.821503,0.000239,24.034965,3.4985720000000002
2020-05-04,DE-BE,81.426339,1889649.395979,2426719.980769,282.115382,0.005018,18.867133,2.122057
2020-05-05,DE-BE,70.081817,14618178.062936999,2431154.407343,280.903961,0.001381,28.762238,3.8852269999999995
2020-05-06,DE-BE,53.606235999999996,18157465.230769,2437660.7062939997,285.059006,0.0,33.447552,4.726078
2020-05-07,DE-BE,65.950758,7761245.178322,2438059.286713,284.14743599999997,2.4e-05,24.503497,3.6885779999999997
2020-05-08,DE-BE,52.000612,17664416.0,2428622.286713,287.883074,0.0,33.307691999999996,2.512471
2020-05-09,DE-BE,48.495162,19170796.979020998,2421115.678322,289.810227,0.0,33.972028,2.131031
2020-05-10,DE-BE,63.948688,15112101.216782998,2399997.715035,290.88027200000005,0.00029,31.244754999999998,2.794347
2020-05-11,DE-BE,83.195308,48078.702851999995,2404787.2290209997,280.260542,0.00476,15.79021,4.805857
2020-05-12,DE-BE,61.142804000000005,10619686.356642999,2422482.38986,280.543067,0.000712,27.174825,4.250816
2020-05-13,DE-BE,58.326193999999994,10840968.846153999,2416269.106643,283.368819,0.000273,33.86014,2.5171330000000003
2020-05-14,DE-BE,58.752506000000004,13636905.48951,2427612.618881,282.9102,0.00015800000000000002,32.972028,3.173077
2020-05-15,DE-BE,54.44384300000001,13237710.727273,2431051.704545,283.444477,0.0,31.013986,3.1663419999999998
2020-05-16,DE-BE,53.059149,6810146.5419580005,2434821.197552,285.759179,1.6e-05,34.314685,4.467978
2020-05-17,DE-BE,51.64697,14143119.594406,2435667.982517,287.430587,0.000296,37.538462,4.363141000000001
2020-05-18,DE-BE,53.248397,5907571.101399,2435066.487762,289.52144599999997,3e-06,32.573427,3.8822550000000002
2020-05-19,DE-BE,66.240623,2655080.90035,2433246.938811,288.671483,0.000148,26.090909,3.7772089999999996
2020-05-20,DE-BE,50.542103999999995,19885223.272726998,2438919.417832,289.089452,0.0,38.524476,2.718036
2020-05-21,DE-BE,46.522203000000005,19915926.475524,2443195.243007,288.779514,0.0,38.391608000000005,2.5380540000000003
2020-05-22,DE-BE,45.722727,11943691.111888,2436395.678322,290.664391,0.003958,36.055944000000004,3.70845
2020-05-23,DE-BE,72.030506,3255269.433566,2433406.6555939997,288.50393199999996,0.00237,29.531469,3.823776
2020-05-24,DE-BE,76.818501,8734061.846153999,2442687.498252,285.896358,0.005786,27.825175,4.359528
2020-05-25,DE-BE,80.913637,3601022.3164339997,2453393.416084,285.364309,0.001713,24.041957999999997,4.320804
2020-05-26,DE-BE,62.24469499999999,14070183.706294,2467198.582168,288.1507,0.00040599999999999995,38.559441,2.7145099999999998
2020-05-27,DE-BE,55.122173,11598294.727273,2461246.931818,290.07651400000003,0.0009609999999999999,39.944055999999996,2.641579
2020-05-28,DE-BE,54.29758199999999,16045725.559441,2456764.727273,288.758191,0.000481,39.34965,4.303058999999999
2020-05-29,DE-BE,52.160782,14556343.727273,2453624.9300700002,288.314801,0.000259,39.496503000000004,3.149534
2020-05-30,DE-BE,52.333362,9587343.503497,2443944.832168,287.424855,0.000103,38.65035,4.313461
2020-05-31,DE-BE,58.154138,13066413.979021,2438007.066434,289.20260299999995,0.000195,38.629371,4.57095
2020-06-01,DE-BE,50.553234,22255692.167832002,2441523.536713,290.75985099999997,0.0,43.510490000000004,3.845076
2020-06-02,DE-BE,45.071503,20154611.006993,2424734.8671330004,293.498716,0.00032900000000000003,43.727273,3.33074
2020-06-03,DE-BE,46.008187,20770811.622378,2399041.0699299998,292.539245,4e-06,43.902097999999995,2.5049240000000004
2020-06-04,DE-BE,63.085855,7550959.58042,2374391.993007,291.463412,0.010208,36.426573,3.617896
2020-06-05,DE-BE,72.34755200000001,10915915.713287,2373933.5699299998,287.323834,0.001202,29.398601,4.612005
2020-06-06,DE-BE,61.546678,12226507.531469,2391702.6923080003,287.150582,0.001001,40.538462,4.6944349999999995
2020-06-07,DE-BE,67.74528000000001,2271590.244755,2405004.195804,288.13268999999997,0.0005110000000000001,38.468531,2.874621
2020-06-08,DE-BE,53.788723,9399462.41958,2418527.5034970003,290.506734,0.00011899999999999999,42.524476,2.361568
2020-06-09,DE-BE,53.288024,11760605.888112,2424453.505245,291.35755,0.000273,41.720279999999995,2.9685610000000002
2020-06-10,DE-BE,63.33991999999999,8625762.206294,2419201.40035,290.21797599999996,0.0008619999999999999,37.832167999999996,3.603497
2020-06-11,DE-BE,89.976748,982504.2945799999,2412338.215035,290.107137,0.002986,22.706294,2.3427740000000004
2020-06-12,DE-BE,74.834147,10601815.692308,2412970.0506990002,294.081463,0.0005690000000000001,34.797203,2.9270400000000003
2020-06-13,DE-BE,81.895686,13553118.853147,2412036.966783,294.925171,0.004425,40.090909,3.240822
2020-06-14,DE-BE,69.810517,10271332.741259,2415445.811189,294.055212,0.000297,34.097902000000005,3.5360720000000003
2020-06-15,DE-BE,55.337908999999996,17024134.79021,2420947.368881,293.477887,0.0,45.93007,3.0278259999999997
2020-06-16,DE-BE,56.012207999999994,17587438.496503,2419287.91958,294.301809,0.0,45.727273,1.866929
2020-06-17,DE-BE,52.07477,12649599.923077,2412520.3583919997,296.42418599999996,1e-06,45.776224,2.454254
2020-06-18,DE-BE,61.998864000000005,12828918.818182,2409056.823427,295.02366,0.000233,40.377621999999995,3.049563
2020-06-19,DE-BE,78.665471,1109447.72771,2415782.412587,291.792981,0.0033829999999999997,27.629371000000003,3.396707
2020-06-20,DE-BE,82.457926,517075.536276,2425306.346154,290.09705099999996,0.0057740000000000005,25.398601,5.54764
2020-06-21,DE-BE,72.017394,4836489.0419580005,2429848.288462,291.539806,0.004302,28.216783000000003,4.224417
2020-06-22,DE-BE,55.747087,19176902.503497,2437168.704545,293.450872,7.4e-05,45.972028,3.648193
2020-06-23,DE-BE,50.426458000000004,21121525.958042,2445441.3881119997,292.836278,0.0,46.0,3.4477269999999995
2020-06-24,DE-BE,59.87954499999999,9552262.909091,2444605.923077,293.886797,0.001621,41.86014,2.83715
2020-06-25,DE-BE,60.739656999999994,12766997.244755,2436794.7937060003,296.35996600000004,0.001794,41.104895,3.925874
2020-06-26,DE-BE,70.285139,14545809.321678,2422277.227273,295.555596,0.0045520000000000005,40.552448,2.9464740000000003
2020-06-27,DE-BE,59.160343000000005,17920074.685314998,2410013.9405590002,297.83779,9e-06,45.244755,2.669231
2020-06-28,DE-BE,70.570048,10325650.335664,2415494.0594409998,295.128496,0.002107,36.811189,3.014336
2020-06-29,DE-BE,62.205769,11404989.636364,2412391.2255240004,292.407778,0.000384,40.629371,2.178875
2020-06-30,DE-BE,50.922377000000004,8220326.097902001,2405955.402098,292.55798300000004,1.4000000000000001e-05,43.804196000000005,4.813403
2020-07-01,DE-BE,72.265826,2097952.8854900002,2403363.737762,292.945424,0.016944,31.825175,3.8274550000000005
2020-07-02,DE-BE,67.458449,13862978.328670999,2409878.7062939997,293.400377,0.001471,41.076923,3.156935
2020-07-03,DE-BE,62.065704000000004,11486941.160839,2422272.236014,292.64496,0.001423,40.699301,4.019406
2020-07-04,DE-BE,54.848195,14625826.524476001,2419774.008741,294.343794,0.003472,43.895105,4.656235
2020-07-05,DE-BE,67.183859,3131795.695804,2408934.7062939997,295.479928,0.001529,34.706294,5.542395
2020-07-06,DE-BE,62.846387,14647799.58042,2412985.174825,290.894379,0.000221,44.545455,6.129662000000001
2020-07-07,DE-BE,60.631671,6790698.513986,2427269.5262240004,289.311042,0.000892,41.391608000000005,4.597931
2020-07-08,DE-BE,70.052651,4342474.019231,2423229.438811,288.700085,0.0008820000000000001,32.083915999999995,3.339714
2020-07-09,DE-BE,85.37567,2284172.26486,2417822.347902,290.14889500000004,0.008236,27.839160999999997,2.944435
2020-07-10,DE-BE,81.113752,6033396.020979,2411394.9562939997,291.341494,0.0027,35.174825,4.06046
2020-07-11,DE-BE,63.71765799999999,11211056.545455,2439149.036713,288.848275,3.4e-05,44.041958,3.4714160000000005
2020-07-12,DE-BE,58.156293999999995,11671202.916083999,2449236.767483,289.6979,4.4e-05,45.13986,3.384033
2020-07-13,DE-BE,55.705362,8290584.416084,2440833.396853,291.746645,0.0,44.629371,2.041171
2020-07-14,DE-BE,49.228671000000006,15444410.958042001,2419582.2255240004,294.86256099999997,7.6e-05,44.825175,2.8145689999999997
2020-07-15,DE-BE,84.215616,2427853.254371,2416183.8146849996,289.726834,0.0069299999999999995,25.545455,2.576428
2020-07-16,DE-BE,73.339712,14829061.629370999,2423306.8671330004,289.928701,0.002026,40.314685,2.776544
2020-07-17,DE-BE,80.644609,6273461.807692,2430880.6118880003,289.753029,0.0009390000000000001,27.895104999999997,2.6029430000000002
2020-07-18,DE-BE,66.879312,10640596.034965,2432148.0104900002,293.815554,3.4e-05,44.209790000000005,1.398514
2020-07-19,DE-BE,62.319697999999995,17126995.517483,2423169.984266,296.447899,0.0017350000000000002,44.097902000000005,1.9111599999999997
2020-07-20,DE-BE,69.121998,10497334.853147,2424991.646853,293.345863,0.008921,39.629371,3.24021
